parent_id	title	paper_path	pdf_sha256	text_sha256	mapping_kind	publication_role	resolution	expected_account_count	inspected_scope	reason
2608.03859	Beyond Representational Similarity: Source-Conditioned Description-Length Gain for Generative Plagiarism Detection and Candidate Source Reranking	papers/2608.03859.pdf	d2b389eff694e14eaf6c9697dadeb673506ca228e7e6fdbb85454e86e315b098	94c84cf9eec8be35b1dac59124aec94d6a0e885efb26b481851937094830b352	non_candidate_class	primary_or_noncandidate_publication	primary_result	23	Full text; every main and appendix result table; separately named submitted/proposed/fitted configurations; dataset, generator, domain, length, validation/test, mechanism, artifact, and timing statements.	Full text yields 23 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2608.01046	DeBERTa-Sentinel: Toward Transparent and Trustworthy Detection of AI-Generated Text	papers/2608.01046.pdf	5eac5dbc2876863413a0e16d4c308adce57903de65dc7bb5e125d3af27c6a850	fd3a5a96be050dc7968fd619e753ccb03a2330fbacd031ea58d6023bb7b5fecf	explicit_disposition	primary_or_noncandidate_publication	primary_result	4	Full text; every main and appendix result table; separately named submitted/proposed/fitted configurations; dataset, generator, domain, length, validation/test, mechanism, artifact, and timing statements.	Full text yields 4 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2607.23805	The Influence of Fraudulent AI-Generated Responses on Software Engineering Surveys	papers/2607.23805.pdf	68cfa9d5099e342aeb31c017a4df20a2f42ae2ec0aaa0624c13545c443e13af2	e127b6e61ad7e6d77cbecf0b706012b6b92f7e90858cbbdd7c6167af1e8b5360	non_candidate_class	evaluation_study	no_qualifying_account	0	Abstract, detector-use description, reported survey-response labels, and conclusion were inspected; detector output percentages are not validated accuracy metrics.	Tables report survey-response distributions and downstream statistical effects, not a validated detector system, threshold metric, or claimed best detector.
2607.22026	DWT-Fusion: A Signal-Based Framework for Training-Free LLM-Generated Text Detection	papers/2607.22026.pdf	ed489430b1093e3f9118c7ee63a7607900274ac71c1fca695a401cc864ab6bd6	9d175be36a0cf2e1c1463c0f405232ffd348d2a3aa7e69d4c91e136039b6c758	explicit_disposition	primary_or_noncandidate_publication	primary_result	7	Full text; every main and appendix result table; separately named submitted/proposed/fitted configurations; dataset, generator, domain, length, validation/test, mechanism, artifact, and timing statements.	Full text yields 7 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2607.17382	Team DACTYL at PAN 2026: Bayesian Data Mixing and Empirical X-risk Minimization for AI-text Detection	papers/2607.17382.pdf	60fbe410d18e586aa4720669721791a9f920c08bcd4d955b91feb86e5fe3c9f4	871c4983bd318a7304ce6cb3d16218d6f6d26cca3db48108769675e1e9c243a0	explicit_disposition	primary_or_noncandidate_publication	primary_result	3	Full text; every main and appendix result table; separately named submitted/proposed/fitted configurations; dataset, generator, domain, length, validation/test, mechanism, artifact, and timing statements.	Full text yields 3 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2607.14967	Latent Trajectory Discrimination for AI-Generated Text Detection	papers/2607.14967.pdf	e55aad9c55f4b35c89a44b329b32ab84fe4e3d91c2d5ab60090f010fb2ec5ae1	6e4cc6950d5220fa558bc14e802cc777a8809c52c1bafeef72b0ac9a1952bbde	explicit_disposition	primary_or_noncandidate_publication	primary_result	5	Full text; every main and appendix result table; separately named submitted/proposed/fitted configurations; dataset, generator, domain, length, validation/test, mechanism, artifact, and timing statements.	Full text yields 5 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2607.14905	Show Me How You Reason and I'll Tell You Who You Are: Reasoning Graphs for Robust LLM Authorship Attribution	papers/2607.14905.pdf	34d5069f871d7e6da0fab421228a9912b3542b2815947ff9a2afea3c4734e5a0	58313a9821684660aa2a36f72b8dfb4646261f8061f61df95ea62086922cf783	non_candidate_class	primary_or_noncandidate_publication	primary_result	5	Full text; every main and appendix result table; separately named submitted/proposed/fitted configurations; dataset, generator, domain, length, validation/test, mechanism, artifact, and timing statements.	Full text yields 5 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2607.03680	Rethinking AI-Generated Text Detection: A Strong Baseline and the Distribution-Shift Problem That Remains	papers/2607.03680.pdf	94ae79a9fae11a16e84352b483c02fccd9dcfe670dc329b8796c1ee680d66cc2	99d22c354e4a641cefe67aff5f27b7755e2f399de6c80811fc3ed539ded988c0	explicit_disposition	primary_or_noncandidate_publication	primary_result	3	Full text; every main and appendix result table; separately named submitted/proposed/fitted configurations; dataset, generator, domain, length, validation/test, mechanism, artifact, and timing statements.	Full text yields 3 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2606.31074	Triospect: A Three-Dimensional Framework for Robust Statistical AI-Generated Text Detection Against Diverse Attacks	papers/2606.31074.pdf	421bba6e4fb73f25140e0b25eea89662007d1ea0e16bdd9496b581787dd9fc88	15f39f0866b38f615ad398cd237ce1566daff44d33f37d701c64a62401cc9fcb	explicit_disposition	primary_or_noncandidate_publication	primary_result	9	Full text; every main and appendix result table; separately named submitted/proposed/fitted configurations; dataset, generator, domain, length, validation/test, mechanism, artifact, and timing statements.	Full text yields 9 exact account(s); the immutable account inventory is compared with distinct disposition targets.
2606.23336	WaveDetect: Robust Framework for Machine-Generated Text Detection via Wavelet Transform	papers/canonical_wavedetect_2606.23336.pdf	0abf552d30db2806cb6d07edfad0a025c70d8ce8aa9b69c9964f77e7bb0b81b6	a5ba4a31b82c12f98f499d87c10d3589bff80648e357ed77b6de2542024df8ac	explicit_disposition	primary_or_noncandidate_publication	primary_result	2	Full text; every main and appendix result table; separately named submitted/proposed/fitted configurations; dataset, generator, domain, length, validation/test, mechanism, artifact, and timing statements.	Full text yields 2 exact account(s); the immutable account inventory is compared with distinct disposition targets.
